username;G_totalXp;G_accuracy;G_gamesPlayed;G_headshots;G_hits;G_misses;G_kdRatio;G_suicides;G_shots;G_scorePerMinute;G_hkRatio;G_wgRatio;contracts;kills;downs;deaths;kdRatio;revives;score;scorePerMinute;timePlayed;gamesPlayed;topFive;topTen;topTwentyFive;wins;averageLifetime;wgRatio;killsPerGame;downsPerGame
fifakill#2291605;21978000.0;0.2801867723464966;18672.0;60399.0;490059.0;1258985.0;3.297370433807373;27916.0;1749044.0;5383.589767043765;0.1752753232055021;0.14551199657240788;23552.0;188471.0;190681.0;34095.0;5.527819328347265;4138.0;153695351.0;598.713257342104;15402567.0;14447.0;5705.0;7203.0;10031.0;3638.0;1066.1429362497404;0.25181698622551396;13.045684225098636;13.198657160656191
Huskerrs;21978000.0;0.17203766107559204;17224.0;39401.0;6908.0;33246.0;4.637285232543945;12315.0;40154.0;258595.04433215747;0.19483068950512283;0.014862981885740827;17603.0;208666.0;203387.0;42323.0;4.930321574557569;4920.0;143255601.0;553.8083197120284;15520417.0;16121.0;4758.0;6397.0;10440.0;2982.0;962.7453011599777;0.1849761181068172;12.943737981514793;12.616276905899138
walshy#8835502;21978000.0;0.17004702985286713;13194.0;22252.0;14429.0;70424.0;3.2567062377929688;17009.0;84853.0;56457.09846642413;0.2114003420102603;0.009246627254812794;22052.0;100867.0;102087.0;28277.0;3.567104006789971;6201.0;92368012.0;428.3647803019997;12937760.0;11608.0;4516.0;5768.0;8406.0;2939.0;1114.5554789800137;0.25318745692625777;8.689438318401102;8.794538249483114
Nooms88#9779485;19863507.0;0.2129148244857788;8369.0;8731.0;91234.0;337266.0;1.4134575128555298;7072.0;428500.0;6025.869502262443;0.19839574622795855;0.08830206715258693;27330.0;22589.0;23183.0;11042.0;2.045734468393407;6034.0;49809410.0;353.0592450968532;8464768.0;5739.0;4287.0;4973.0;5829.0;2719.0;1474.9552186792123;0.47377591914967765;3.9360515769297786;4.039553929255968
zSuperRob#6587837;4852256.0;0.21625208854675293;13151.0;29590.0;73966.0;268070.0;3.67230224609375;21444.0;342036.0;16837.12798506189;0.18868526099654384;0.04547182723747244;17120.0;131961.0;135668.0;25082.0;5.261183318714616;7406.0;104201279.0;480.4109122631525;13014019.0;11888.0;4514.0;5934.0;8574.0;2676.0;1094.7189602960968;0.22510094212651413;11.1003532974428;11.412180349932706
ambbirdツ#2476272;20667086.0;0.14886905252933502;10824.0;21024.0;104766.0;598980.0;1.9110978841781616;21902.0;703746.0;5754.3956836981315;0.1863945457608185;0.09913155949741316;18362.0;63269.0;70036.0;15857.0;3.9899728826385825;5060.0;79617219.0;435.54352802033486;10967981.0;9030.0;4621.0;5901.0;7618.0;2600.0;1214.6158361018827;0.28792912513842744;7.006533776301218;7.755924695459579
moto#7997406;21978000.0;0.21057701110839844;18172.0;33706.0;311280.0;1166944.0;1.7434356212615967;34642.0;1478224.0;1658.1527914443795;0.19177941896059264;0.21136913933524104;15448.0;70304.0;73549.0;21358.0;3.2916939788369697;7109.0;70608362.0;374.16002543562934;11322700.0;9561.0;3916.0;5264.0;7389.0;2127.0;1184.2589687271206;0.22246626921870097;7.353205731618032;7.692605376006694
Blue#7558256;16814162.0;0.19735582172870636;8278.0;14960.0;50261.0;204411.0;3.3435420989990234;15655.0;254672.0;18624.94071146245;0.17935929407251103;0.06523314810340662;18861.0;76986.0;78479.0;18458.0;4.170874417596706;5907.0;77517917.0;496.4383730959718;9368887.0;8174.0;3693.0;4861.0;6702.0;2023.0;1146.181428920969;0.24749204795693663;9.418399804257401;9.601052116466846
Downtown Dieter#3252059;21978000.0;0.2024158239364624;11613.0;24448.0;47189.0;185940.0;2.662487268447876;19587.0;233129.0;20032.20320802255;0.2275290832945556;0.0216998191681736;14031.0;84766.0;86020.0;25434.0;3.332782889046159;4028.0;72818012.0;458.58237163840613;9527363.0;8289.0;3321.0;4286.0;6085.0;2014.0;1149.3983592713234;0.2429726143081192;10.226324043913621;10.377608879237544
Newbz#5677070;21978000.0;0.2505573034286499;19146.0;45591.0;77440.0;231631.0;3.693845272064209;47458.0;309071.0;19632.862682448624;0.21141887285930913;0.025645043351091613;11997.0;174602.0;181017.0;36853.0;4.73779610886495;4498.0;125247728.0;535.110674501617;14043569.0;14755.0;3547.0;5178.0;8434.0;1961.0;951.7837343273467;0.13290410030498137;11.833412402575398;12.268180277871908
